Genus,species,abbr,abbr2,status_name,status,county_id
Actaea,rubra,Actrub,,IL,R,Cook
Agalinis,skinneriana  ,Agaski,,IL,T,Cook
Amelanchier,interior  ,Ameint,,IL,T,Cook
Amelanchier,sanguinea  ,Amesan,,IL,E,Cook
Ammophila,breviligulata  ,Ammbre,,IL,E,Cook
Arctostaphylos,uva-ursi  ,Arcuva,Arcuvc,IL,E,Cook
Asclepias,exaltata  ,Ascexa,,IL,R,Cook
Asclepias,hirtella  ,Aschir,,IL,R,Cook
Asclepias,lanuginosa  ,Asclan,,IL,E,Cook
Asclepias,ovalifolia  ,Ascova,,IL,E,Cook
Asclepias,viridiflora  ,Ascvir,,IL,R,Cook
Aster,furcatus  ,Astfur,,IL,T,Cook
Baptisia,leucophaea  ,Bapleu,,IL,R,Cook
Beckmannia,syzigachne  ,Becsyz,,IL,E,Cook
Besseya,bullii  ,Besbul,,IL,T,Cook
Buchnera,americana  ,Bucame,,IL,T,Cook
Cacalia,plantaginea  ,Cacpla,,IL,R,Cook
Cakile,edentula  ,Cakede,,IL,T,Cook
Calopogon,tuberosus  ,Caltub,,IL,E,Cook
Carex,aurea  ,Caraur,Cxaure,IL,T,Cook
Carex,bromoides  ,Carbro,Cxbrom,IL,T,Cook
Carex,conoidea  ,Carcon,Cxcono,IL,R,Cook
Carex,crawei  ,Carcra,Cxcraw,IL,R,Cook
Carex,crawfordii  ,Carcra,Cxcraw,IL,E,Cook
Carex,cryptolepis  ,Carcry,Cxcryp,IL,E,Cook
Carex,formosa  ,Carfor,Cxform,IL,E,Cook
Carex,frankii  ,Carfra,Cxfran,IL,R,Cook
Carex,gracilescens  ,Cargra,Cxgrac,IL,R,Cook
Carex,intumescens  ,Carint,Cxintu,IL,T,Cook
Carex,leptalea  ,Carlep,Cxlept,IL,R,Cook
Carex,viridula  ,Carvir,Cxviri,IL,T,Cook
Carex,woodii  ,Carwoo,Cxwood,IL,T,Cook
Cassia,hebecarpa  ,Casheb,,IL,R,Cook
Chamaesyce,polygonifolia  ,Chapol,,IL,E,Cook
Cimicifuga,racemosa  ,Cimrac,,IL,E,Cook
Cirsium,pitcheri  ,Cirpit,,IL,T,Cook
Comptonia,peregrina  ,Comper,,IL,E,Cook
Conopholis,americana  ,Coname,,IL,R,Cook
Cypripedium,candidum  ,Cypcan,,IL,T,Cook
Cypripedium,parviflorum var. makasin,Cyppar,Cyppam,IL,E,Cook
Dalea,foliosa  ,Dalfol,,IL,E,Cook
Delphinium,tricorne  ,Deltri,,IL,R,Cook
Diarrhena,americana  ,Diaame,,IL,R,Cook
Dichanthelium,boreale  ,Dicbor,,IL,E,Cook
Diervilla,lonicera  ,Dielon,,IL,R,Cook
Drosera,intermedia  ,Droint,,IL,T,Cook
Elymus,trachycaulus  ,Elytra,,IL,T,Cook
Erythronium,americanum  ,Eryame,,IL,R,Cook
Filipendula,rubra  ,Filrub,,IL,E,Cook
Gentiana,flavida  ,Genfla,,IL,R,Cook
Gentianopsis,crinita  ,Gencri,,IL,R,Cook
Geranium,bicknellii  ,Gerbic,,IL,E,Cook
Helianthus,giganteus  ,Helgig,,IL,E,Cook
Hybanthus,concolor  ,Hybcon,,IL,R,Cook
Hydrastis,canadensis  ,Hydcan,,IL,R,Cook
Hypericum,kalmianum  ,Hypkal,,IL,E,Cook
Hypericum,swinkianum  ,Hypswi,,IL,R,Cook
Ilex,verticillata  ,Ilever,,IL,R,Cook
Iodanthus,pinnatifidus  ,Iodpin,,IL,R,Cook
Jeffersonia,diphylla  ,Jefdip,,IL,R,Cook
Juglans,cinerea  ,Jugcin,,IL,R,Cook
Juncus,alpinoarticulatus  ,Junalp,,IL,T,Cook
Juniperus,communis  ,Juncom,,IL,T,Cook
Lathyrus,ochroleucus  ,Latoch,,IL,T,Cook
Lespedeza,leptostachya  ,Leslep,,IL,E,Cook
Liatris,scariosa var. nieuwlandii,Liasca,Liascn,IL,T,Cook
Lonicera,dioica  ,Londio,,IL,E,Cook
Lycopus,virginicus  ,Lycvir,,IL,R,Cook
Medeola,virginiana  ,Medvir,,IL,E,Cook
Minuartia,patula  ,Minpat,,IL,T,Cook
Mitella,diphylla  ,Mitdip,,IL,R,Cook
Oenothera,perennis  ,Oenper,,IL,T,Cook
Ophioglossum,pusillum  ,Ophpus,,IL,R,Cook
Orobanche,uniflora  ,Orouni,,IL,R,Cook
Pilea,fontana  ,Pilfon,,IL,R,Cook
Pinus,banksiana  ,Pinban,,IL,E,Cook
Plantago,cordata  ,Placor,,IL,E,Cook
Platanthera,aquilonis  ,Plaaqu,,IL,R,Cook
Platanthera,ciliaris  ,Placil,,IL,E,Cook
Platanthera,flava var. herbiola,Plafla,Plflh,IL,T,Cook
Pogonia,ophioglossoides  ,Pogoph,,IL,E,Cook
Polygonatum,pubescens  ,Polpub,,IL,E,Cook
Populus,balsamifera  ,Popbal,,IL,E,Cook
Prenanthes,aspera  ,Preasp,,IL,R,Cook
Psoralea,tenuiflora  ,Psoten,,IL,R,Cook
Pyrola,elliptica  ,Pyrell,,IL,R,Cook
Ranunculus,rhomboideus  ,Ranrho,,IL,T,Cook
Rubus,odoratus  ,Rubodo,,IL,E,Cook
Rubus,pubescens  ,Rubpub,,IL,T,Cook
Saxifraga,pensylvanica  ,Saxpen,,IL,R,Cook
Silene,regia  ,Silreg,,IL,E,Cook
Silene,virginica  ,Silvir,,IL,R,Cook
Sisyrinchium,campestre  ,Siscam,,IL,R,Cook
Sisyrinchium,montanum  ,Sismon,,IL,E,Cook
Spiranthes,lucida  ,Spiluc,,IL,E,Cook
Spiranthes,ovalis  ,Spiova,,IL,R,Cook
Stellaria,pubera  ,Stepub,,IL,E,Cook
Swertia,caroliniensis  ,Swecar,,IL,R,Cook
Tetraneuris,herbacea  ,Tether,,IL,E,Cook
Tofieldia,glutinosa  ,Tofglu,,IL,T,Cook
Tomanthera,auriculata  ,Tomaur,,IL,T,Cook
Trientalis,borealis  ,Tribor,,IL,E,Cook
Triglochin,maritima  ,Trimar,,IL,T,Cook
Triglochin,palustris  ,Tripal,,IL,T,Cook
Trillium,cernuum  ,Tricer,,IL,E,Cook
Trillium,sessile  ,Trises,,IL,R,Cook
Utricularia,intermedia  ,Utrint,,IL,T,Cook
Utricularia,minor  ,Utrmin,,IL,E,Cook
Valeriana,uliginosa  ,Valuli,,IL,E,Cook
Veronica,comosa  ,Vercom,,IL,R,Cook
Veronica,scutellata  ,Verscu,,IL,T,Cook
Viola,canadensis  ,Viocan,,IL,E,Cook
Viola,conspersa  ,Viocon,,IL,T,Cook
Viola,striata  ,Viostr,,IL,R,Cook
